PREREQUISITE	TARGET
STAR	ACCESS POINT
NETWORK	PERSONAL AREA NETWORK
SYSTEM	INTERNET
HTTPS	SECURE SOCKET LAYER
CLIENT	PROXY SERVER
SERVER SIDE	PHP
PHONE NETWORK	3G
PROTOCOL	VOICE OVER INTERNET PROTOCOL
NETWORK	LOCAL AREA NETWORK
ASCII CHARACTER	MULTIPURPOSE INTERNET MAIL EXTENSION
LEGACY ANALOG LINKAGE	LAST MILE PROBLEM
FIREWALL	SPAM FILTER
INTERNET PROTOCOL	4G
ELECTRONIC COMMUNICATION	ELECTRONIC COMMUNICATION PRIVACY ACT
WEBSERVER	SERVER-SIDE ACTIVITY
PROCESS	CLIENT/SERVER MODEL
BROWSER	JAVASCRIPT
CHANNEL	SILENT CHANNEL
ROUTER	FORWARDING TABLE
TEXT FILE	EXTENSIBLE MARKUP LANGUAGE
NETWORK	PROPRIETARY , NETWORK
UNIFORM RESOURCE LOCATOR	ANCHOR TAG
NETWORK	INTERNET PROTOCOL NETWORK
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE
SERVER	UNIFORM RESOURCE LOCATOR
NETWORK	PROTOCOL
INTERNET PROTOCOL ADDRESS	128-BIT ADDRESS
INTERNET	LINK LAYER
FOUR-LEVEL HIERARCHY	SEVEN-LEVEL HIERARCHY
FILE	FILE TRANSFER PROTOCOL
COMPUTER	VIRUS
INTERNET PROTOCOL ADDRESS	32-BIT INTERNET PROTOCOL ADDRESS
DEVICE	REPEATER
EMAIL	PHISHING
DOMAIN	MNEMONIC DOMAIN NAME
INTERNET	DOMAIN
BUS	ETHERNET NETWORK
FORWARD MESSAGE	HOP COUNT
SIMPLE MAIL TRANSFER PROTOCOL	SPAMMERS
BUS NETWORK	ETHERNET PROTOCOL
NETWORK	INTERNET
MACHINE	COLLISION AVOIDANCE
COMPUTER	DISTRIBUTED SYSTEM
COMPUTER	CLIENT/SERVER MODEL
WIRELESS TELEPHONE	4G
DOMAIN	INTERNET CORPORATION FOR ASSIGNED NAME AND NUMBERS
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL SYSTEM	EARLIER GENERATION OF WIRELESS PHONE
NETWORK	WIDE AREA NETWORK
MONITOR THE COMMUNICATION	COMMUNICATION ASSISTANCE FOR LAW ENFORCEMENT ACT
INTERNET	ACCESS INTERNET SERVICE PROVIDER
BROWSER	CLIENT-SIDE ACTIVITY
PRIVACY	ELECTRONIC COMMUNICATION PRIVACY ACT
SOFTWARE	APPLICATION LAYER
BUS NETWORK	CARRIER SENSE
SERVER	REMOTE MAIL SERVER
MAIL SERVER	DOMAIN NAME SYSTEM
LAYER	APPLICATION LAYER
SECURITY	AUDITING SOFTWARE
MESSAGE	FIREWALL
BROWSER	APPLET
WEBSERVER	DENIAL OF SERVICE ATTACK
OPERATING SYSTEM	VIRUS
NETWORK PROTOCOL	SIMPLE MAIL TRANSFER PROTOCOL
TAG	HYPERTEXT MARKUP LANGUAGE
REPEATER	BRIDGE
INTERNET	NETWORK LAYER
MAIL SERVER	PORT NUMBER
COMPUTER	SPYWARE
NETWORK	CONTENT DELIVERY NETWORK
TAG	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT
DIRECTORY PATH	UNIFORM RESOURCE LOCATOR
DISTRIBUTED SYSTEM	CLUSTER COMPUTE
COMPUTER	HYPERTEXT TRANSFER PROTOCOL
INTRANET	ACCESS INTERNET SERVICE PROVIDER
APPLICATION LAYER	USER DATAGRAM PROTOCOL
SWITCH	ROUTER
APPLICATION	APPLICATION LAYER
NETWORK PROTOCOL	TELNET PROTOCOL
INTERNET	INTERNET INFRASTRUCTURE
SOFTWARE	SKYPE
PUBLIC-KEY	CERTIFICATE AUTHORITY
ADMINISTRATOR	AUDITING SOFTWARE
SERVER	SERVLET
AUDITING SOFTWARE	FIREWALL
STAR NETWORK	WIRELESS NETWORK
BROWSER	HYPERTEXT TRANSFER PROTOCOL
INTERNET	INTERNET PROTOCOL NETWORK
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE	INTERNET PROTOCOL
NETWORK	CLIENT
ACCESS POINT	STAR
WIRELESS	COLLISION AVOIDANCE
HYPERTEXT DOCUMENT	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT
EMAIL MESSAGE	SIMPLE MAIL TRANSFER PROTOCOL
INTERNET	CONTENT DELIVERY NETWORK
INTERNET	LAST MILE PROBLEM
NETWORK PROTOCOL	EMAIL MESSAGE
LAYER	INTERNET PROTOCOL NETWORK LAYER
ADDRESSING SYSTEM	FORWARDING TABLE
NETWORK	HYPERTEXT TRANSFER PROTOCOL
CHANNEL	BUSY CHANNEL
PHONE TECHNOLOGY	4G
ACCESS POINT	WIFI NETWORK
ACCESS POINT	HOT SPOT
COMPUTER	CLOUD COMPUTING
WIRELESS NETWORK	LINK LAYER
ENCRYPTION	PUBLIC-KEY ENCRYPTION
SYSTEM	PHP
SYSTEM	ADDRESSING SYSTEM
INTERNET PROTOCOL	INTERNET PROTOCOL VERSION SIX
NETWORK	SECURE SHELL
EMAIL	SPAM
TAG	BODY
MESSAGE	FORWARDING TABLE
NETWORK SECURITY	COMPUTER FRAUD AND ABUSE ACT
INTERNET	INTERNET PROTOCOL
NETWORK	INTERNET PROTOCOL NETWORK LAYER
REPEATER	ROUTER
INTERNET ADDRESS	INTERNET PROTOCOL VERSION FOUR
MESSAGE	POST OFFICE PROTOCOL VERSION 3
EMAIL	MULTIPURPOSE INTERNET MAIL EXTENSION
INTRANET	INTERNET ACCESS
SYSTEM	HYPERTEXT MARKUP LANGUAGE
BUS	SWITCH
CLIENT-SIDE ACTIVITY	SEARCH ENGINE
MESSAGE	BRIDGE
MACHINE	LOCAL MACHINE
SERVER	SERVLETS
TRANSPORT LAYER	TRANSMISSION CONTROL PROTOCOL
MESSAGE	ADDRESS
PHONE NETWORK	4G
INTERNET ADDRESS	INTERNET PROTOCOL VERSION SIX
CLIENT	ELECTRONIC COMMUNICATION PRIVACY ACT
LEGAL APPROACHES	ANTICYBERSQUATTING CONSUMER PROTECTION ACT
BIT	INTERNET PROTOCOL ADDRESS
SOFTWARE	MALICIOUS SOFTWARE
COMPUTER SYSTEM	TROJAN HORSE
SOFTWARE	ACCOUNTING AND INVENTORY SYSTEM
MESSAGE	LINK LAYER
PROTOCOL	USER DATAGRAM PROTOCOL
APPLICATION	SECURE VERSION
PROPRIETARY SYSTEM	SKYPE
SERVER	CONTENT DELIVERY NETWORK
COMPUTER	NETWORK
INTERNET SECURITY	COMPUTER EMERGENCY RESPONSE TEAM
MONITOR THE COMMUNICATION	ELECTRONIC COMMUNICATION PRIVACY ACT
NAME SERVER	APPLICATION LAYER
DIGITAL SIGNAL	SECOND GENERATION
INTERNET ARCHITECTURE	TIER-2 INTERNET SERVICE PROVIDER
ADDRESS TRANSLATION SERVICE	DOMAIN NAME SYSTEM LOOKUP
SHORT BUS	HUB
PROTOCOL	TRANSMISSION CONTROL PROTOCOL
SOFTWARE	INTERNET SOFTWARE
MESSAGE	DENIAL OF SERVICE ATTACK
HYPERTEXT MARKUP LANGUAGE	SEARCH ENGINE
SERVER SIDE	ASP
INTERNET MULTIMEDIA STREAMING	CONTENT DELIVERY NETWORK
MESSAGE	NETWORK
WIDE AREA NETWORK	INTERNET
INFORMATION	DENIAL OF SERVICE ATTACK
COLLISION AVOIDANCE	BUSY CHANNEL
MNEMONIC ADDRESS	NAME SERVER
COMPUTER	INTERNET MAIL ACCESS PROTOCOL
TIER-3 INTERNET SERVICE PROVIDER	ACCESS INTERNET SERVICE PROVIDER
CLIENT	CLIENT-SIDE ACTIVITY
NETWORK	SIMPLE MAIL TRANSFER PROTOCOL
ENCRYPTION	ENCODED INFORMATION
INTERNET	TIER-2 INTERNET SERVICE PROVIDER
COMPUTER	BODY
VIRUS	SPAM
COMPUTER	SERVER
PROCESS	PEER-TO-PEER MODEL
ADDRESSING SYSTEM	IPV6
PEER	SWARM
ASCII CHARACTER	INTERNET PROTOCOL
PROTOCOL STANDARD	WORLD WIDE WEB CONSORTIUM STANDARD
PUBLIC-KEY	PUBLIC-KEY ENCRYPTION
MESSAGE	CARRIER SENSE
LAYER	TRANSPORT LAYER
DOMAIN NAME	NAME SERVER
HYPERTEXT TRANSFER PROTOCOL	PROXY SERVER
INTERNET ACCESS	HOT SPOT
HYPERTEXT	WEBSERVERS
COMPUTER	INTERNET PROTOCOL ADDRESS
GATEWAY	FIREWALL
BUS NETWORK	ETHERNET NETWORK
COMPUTER NETWORK	WIDE AREA NETWORK
NETWORK	VOICE OVER INTERNET PROTOCOL
MACHINE	HUB
SERVER	REMOTE MAIL SERVER PROCESS
HOST	VIRUS
INTERNET	INTERNET PROTOCOL NETWORK LAYER
HYPERTEXT MARKUP LANGUAGE	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT
DEVICE	BRIDGE
WEBSERVER	HYPERTEXT TRANSFER PROTOCOL
TRADITIONAL TELEPHONE	ANALOG TELEPHONE ADAPTER
NETWORK	4G
PUBLIC-KEY ENCRYPTION SYSTEM	DIGITAL SIGNATURE
SERVER	CLIENT-SIDE ACTIVITY
CLIENT	JAVASERVER PAGE
TRANSPORT LAYER	PORT NUMBER
APPLICATION LAYER	PORT NUMBER
INTERNET ACCESS	ACCESS INTERNET SERVICE PROVIDER
NETWORK PROTOCOL	HYPERTEXT TRANSFER PROTOCOL
WIRELESS	PERSONAL AREA NETWORK
NETWORK	OPEN SYSTEM
PHISHING	SPAM
PRIVATE-KEY	BIT PATTERN
NETWORK	NETWORK NEWS TRANSFER PROTOCOL
MALICIOUS SOFTWARE	VIRUS
MNEMONIC ADDRESS	UNIFORM RESOURCE LOCATOR
NETWORK LAYER	INTERNET PROTOCOL
STAR	WIRELESS NETWORK
ADDRESS	MNEMONIC DOMAIN NAME
TRANSPORT LAYER	NETWORK LAYER
SERVER	PRINT SERVER
SERVER	CERTIFICATE AUTHORITY
SERVER	PEER-TO-PEER MODEL
PUBLIC-KEY ENCRYPTION SYSTEM	CERTIFICATE AUTHORITY
ADDRESSING SYSTEM	DOMAIN
TRADITIONAL TELEPHONE	VOICE OVER INTERNET PROTOCOL
DOMAIN NAME	SUBDOMAINS
INTERNET ACCESS	LAST MILE PROBLEM
DOMAIN	DOMAIN NAME SYSTEM
DOMAIN NAME	CYBERSQUATTING
INTERNET	SIMPLE MAIL TRANSFER PROTOCOL
WIRELESS NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE
NETWORK	BUS NETWORK
WIRELESS TELEPHONE	SECOND GENERATION
SERVER	FILE SERVER
CLIENT-SIDE ACTIVITY	FLASH
NETWORK CLASSIFICATIONS	PROPRIETARY , NETWORK
MESSAGE	INTERNET MAIL ACCESS PROTOCOL
INTERPROCESS COMMUNICATION	PEER-TO-PEER MODEL
INTERPROCESS COMMUNICATION	CLIENT/SERVER MODEL
PROTOCOL	NETWORK NEWS TRANSFER PROTOCOL
COMPUTER	ROUTER
INTERNET APPLICATIONS	ELECTRONIC MAIL
PROGRAM	TROJAN HORSE
NETWORK	DISTRIBUTED SYSTEM
MACHINE	CENTRAL SERVER
PUBLIC-KEY ENCRYPTION	PRIVATE-KEY
EMAIL	REMOTE MAIL SERVER
INTERNET ARCHITECTURE	TIER-1 INTERNET SERVICE PROVIDER
PROTOCOL	MULTIPLE ACCESS WITH COLLISION DETECTION
INTERNET	WORLD WIDE WEB
COMPUTER	POST OFFICE PROTOCOL VERSION 3
MACHINE	NETWORK
SERVER-SIDE ACTIVITY	ACTIVE SERVER PAGE
INTERNET SERVICE PROVIDER	INTERNET CORPORATION FOR ASSIGNED NAME AND NUMBERS
COMPUTER	FIREWALL
INTERNET	TIER-1 INTERNET SERVICE PROVIDER
CLIENT/SERVER MODEL	SERVER-SIDE ACTIVITY
INTERNET PROTOCOL ADDRESS	APPLICATION LAYER
WEBPAGE TEMPLATE	ACTIVE SERVER PAGE
MESSAGE	DECRYPT
ADDRESS	DOMAIN NAME
PACKET RETRANSMISSION	RELIABLE PROTOCOL
SOFTWARE	SPYWARE
NETWORK CLASSIFICATIONS	LOCAL AREA NETWORK
MAIL SERVER	INTERNET MAIL ACCESS PROTOCOL
PROGRAM	SERVLETS
INTERNET SERVICE PROVIDER	ELECTRONIC COMMUNICATION PRIVACY ACT
PROTOCOL	CONNECTIONLESS PROTOCOL
BRIDGE	SWITCH
PROTOCOL STANDARD	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION
UNICODE	HYPERTEXT DOCUMENT
VIRUS	ANTIVIRUS SOFTWARE
MALICIOUS SOFTWARE	WORM
PROTOCOL	INTERNET MAIL ACCESS PROTOCOL
INTERNET SERVICE PROVIDER	INTERNET ACCESS
NETWORK PROTOCOL	NETWORK NEWS TRANSFER PROTOCOL
PROTOCOL	POST OFFICE PROTOCOL VERSION 3
DEVICE	HUB
HEAD	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT
COMPUTER	PROTOCOL
MULTIPLE ACCESS WITH COLLISION DETECTION	LINK LAYER
END USER	CONTENT DELIVERY NETWORK
COMPUTER	WIDE AREA NETWORK
SERVER	CERTIFICATE
BROWSER	SECURE SOCKET LAYER
SOFTWARE	WORM
BROWSER	WEBSERVER
ACCESS INTERNET SERVICE PROVIDER	CONTENT DELIVERY NETWORK
END SYSTEM	INTERNET ACCESS
WORM	COMPUTER FRAUD AND ABUSE ACT
HYPERLINK	WORLD WIDE WEB
NETWORK	NETWORK LAYER
COMPUTER	MALICIOUS SOFTWARE
NETWORK PROTOCOL	FILE TRANSFER PROTOCOL
TRADITIONAL TELEPHONE	1G
MACHINE	CHANNEL
NETWORK	HOT SPOT
MESSAGE	PROTOCOL
TAG	ANCHOR TAG
SIMPLE MAIL TRANSFER PROTOCOL	REMOTE SERVER
NETWORK	3G
BUS NETWORK	HUB
PROGRAM	WORM
SERVER	SERVER PROCESS
SYSTEM	DOMAIN NAME SYSTEM
HIDDEN TERMINAL PROBLEM	COLLISION AVOIDANCE
FILE DISTRIBUTION	SWARM
INTERNET SOFTWARE	APPLICATION LAYER
INFORMATION	HYPERTEXT MARKUP LANGUAGE
DEVICE	ROUTER
PREVENTATIVE TOOL	AUDITING SOFTWARE
INTERNET SITE	CERTIFICATE AUTHORITY
WEBPAGE	CUSTOMIZED WEBPAGE
NETWORK PROTOCOL	SECURE SHELL
WORLD WIDE WEB	EXTENSIBLE MARKUP LANGUAGE
INTERNET	IPV4
HYPERTEXT REFERENCE	UNIFORM RESOURCE LOCATOR
PEER-TO-PEER MODEL	FILE DISTRIBUTION
EMAIL MESSAGE	END USER
SERVER	REMOTE SERVER
PUBLIC-KEY	PUBLIC-KEY ENCRYPTION SYSTEM
NETWORK	PROXY SERVER
COMPUTER	WORM
SOFTWARE	TROJAN HORSE
TOP-LEVEL DOMAINS	SUBDOMAIN
SERVER	ANYCAST
PROTOCOL	SECURE SHELL
HYPERTEXT	HYPERTEXT DOCUMENT
NETWORK	PROTOCOL STANDARD
NETWORK OF NETWORK	INTERNET
PUBLIC-KEY ENCRYPTION	PUBLIC-KEY ENCRYPTION SYSTEM
PHONE TECHNOLOGY	1G
LEGAL APPROACHES	COMPUTER FRAUD AND ABUSE ACT
NETWORK	ANTIVIRUS SOFTWARE
ADDRESS	NAME SERVER
TIER-1 INTERNET SERVICE PROVIDER	TIER-3 INTERNET SERVICE PROVIDER
TIER-1 INTERNET SERVICE PROVIDER	TIER-2 INTERNET SERVICE PROVIDER
INTERNET	PHONE NETWORK
SYSTEM	EXTENSIBLE MARKUP LANGUAGE
SOFTWARE PACKAGE	BROWSER
PACKET	HOP COUNT
MACHINE	STAR
MULTIPLE ACCESS WITH COLLISION DETECTION	CARRIER SENSE
SOFTWARE	DENIAL OF SERVICE ATTACK
WIFI NETWORK	LINK LAYER
NETWORK	BRIDGE
FILE TRANSFER PROTOCOL	APPLICATION LAYER
CLIENT/SERVER MODEL	PRINT SERVER
COMPUTER NETWORK	PERSONAL AREA NETWORK
NETWORK	OPEN NETWORK
COMPUTER	UNIFORM RESOURCE LOCATOR
VOICE OVER INTERNET PROTOCOL	USER DATAGRAM PROTOCOL
INTERNET	ROUTER
MACHINE	CARRIER SENSE
COMPUTE POWER	GRID COMPUTE
INTERNET	HOP COUNT
FILE	PEER-TO-PEER MODEL
ATTACK	MALICIOUS SOFTWARE
SERVER-SIDE ACTIVITY	COMMON GATEWAY INTERFACE
ANALOG NETWORK INFRASTRUCTURE	LEGACY ANALOG LINKAGE
CLIENT	CLIENT/SERVER MODEL
SYSTEM	ASCII
COMPUTER	SIMPLE MAIL TRANSFER PROTOCOL
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK	EMBEDDED VOICE OVER INTERNET PROTOCOL PHONE
COLLISION AVOIDANCE	LINK LAYER
HYPERLINK	ANCHOR TAG
WEBPAGE	HYPERTEXT TRANSFER PROTOCOL
CLIENT/SERVER MODEL	PEER-TO-PEER MODEL
BIT PATTERN	32-BIT INTERNET PROTOCOL ADDRESS
SERVER-SIDE ACTIVITY	PHP
POLICY	CARRIER SENSE
EMAIL MESSAGE	PHISHING
DOMAIN NAME SYSTEM LOOKUP	USER DATAGRAM PROTOCOL
ACCESS INTERNET SERVICE PROVIDER	END SYSTEM
SOFTWARE	WEBSERVERS
NETWORK	FORWARDING TABLE
PREVENTATIVE TOOL	ANTIVIRUS SOFTWARE
NETWORK	ROUTER
NETWORK	LINK LAYER
EMAIL	EMAIL MESSAGE
PROTOCOL	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE
EMAIL	MAIL SERVER
MNEMONIC DOMAIN NAME	NAME SERVER
FIREWALL	SPOOFING
MALICIOUS SOFTWARE	TROJAN HORSE
CARRIER SENSE	MULTIPLE ACCESS WITH COLLISION DETECTION
KEY	PUBLIC-KEY
HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	BODY
DOMAIN	FIREWALL
EARLIER GENERATION OF WIRELESS PHONE	1G
OPEN SYSTEM	OPEN SYSTEM INTERCONNECTION ( OSI ) REFERENCE MODEL
INTERNET	4G
CLOUD COMPUTING	CLOUD
TAG	HEAD
SYSTEM	PUBLIC-KEY ENCRYPTION SYSTEM
STORAGE	MAGNETIC DISK
INTERNET PROTOCOL ADDRESS	INTERNET CORPORATION FOR ASSIGNED NAME AND NUMBERS
UNIQUE ADDRESS	UNIFORM RESOURCE LOCATOR
SOFTWARE	UTILITY PACKAGE
PROTOCOL STANDARD	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE
NETWORK	HUB
MESSAGE	ENCRYPTION
COMPUTATION	CLUSTER COMPUTE
VIRUS	COMPUTER FRAUD AND ABUSE ACT
DISTRIBUTED SYSTEM	DISTRIBUTE APPLICATION
MNEMONIC ADDRESS	APPLICATION LAYER
CARRIER SENSE	COLLISION AVOIDANCE
ETHERNET	LINK LAYER
MASS STORAGE	VIRUS
SERVLETS	JAVASERVER PAGE
BODY	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT
INTERNET PROTOCOL	VOICE OVER INTERNET PROTOCOL
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE	TRANSMISSION CONTROL PROTOCOL
SOFTWARE	VIRUS
NETWORK	REPEATER
PEER-TO-PEER	VOICE OVER INTERNET PROTOCOL
MACHINE	SILENT CHANNEL
INTRANET	FIREWALL
ADDRESSING SYSTEM	UNIQUE ADDRESS
NETWORK	GATEWAY
ACCESS INTERNET SERVICE PROVIDER	INTERNET ACCESS
SERVER	APPLICATION LAYER
ACCESS INTERNET SERVICE PROVIDER	INTRANET
TRANSPORT LAYER	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL PROTOCOL SUITE
PROTOCOL	NAME SERVER
BUS	REPEATER
PROTOCOL	ETHERNET PROTOCOL
STANDARD	STANDARD GENERALIZED MARKUP LANGUAGE
MESSAGE	CHANNEL
NETWORK	ANYCAST
INTERNET SERVICE PROVIDER	INTERNET PROTOCOL ADDRESS
MAIL SERVER	END USER
INTERNET	INTERNET APPLICATION
DATUM	GRID COMPUTE
NETWORK	BUS
ACCESS INTERNET SERVICE PROVIDER	HOT SPOT
UNIFORM RESOURCE LOCATOR	ANCHOR
INTERNET	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL SYSTEM
ENCRYPTION	DIGITAL SIGNATURE
CONTENT DELIVERY NETWORK	ANYCAST
MESSAGE	ROUTER
INTERNET	TIER-3 INTERNET SERVICE PROVIDER
PROTOCOL	CARRIER SENSE
WIRELESS TELEPHONE	1G
PASSWORD	ENCRYPTION
PROTOCOL	INTERNET PROTOCOL NETWORK LAYER
COMBINE NETWORK	REPEATER
SERVER	SERVER-SIDE ACTIVITY
PUBLIC-KEY ENCRYPTION SYSTEM	BIT PATTERN
OPERATING SYSTEM	NETWORK SOFTWARE
COMPUTER	DENIAL OF SERVICE
BIT PATTERN	MNEMONIC ADDRESS
NETWORK	NAME SERVER
HYPERTEXT	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT
KEY	PRIVATE-KEY
CENTRAL MACHINE	ACCESS POINT
MESSAGE	TRANSPORT LAYER
DOMAIN NAME	DOMAIN NAME SYSTEM
EMAIL	SIMPLE MAIL TRANSFER PROTOCOL
NETWORK	STAR
BUS NETWORK	SWITCH
NETWORK CLASSIFICATIONS	TOPOLOGY OF THE NETWORK
INTERNET	CERTIFICATE AUTHORITY
INTERNET PROTOCOL ADDRESS	DOMAIN NAME SYSTEM
MAGNETIC DISK	MASS STORAGE
PROTOCOL	INTERNET PROTOCOL ADDRESS
WEBPAGE	BODY
INTERNET SERVICE PROVIDER	TIER-2 INTERNET SERVICE PROVIDER
BRIDGE	ROUTER
EXTENSIBLE MARKUP LANGUAGE	STANDARD GENERALIZED MARKUP LANGUAGE
SPYWARE	DENIAL OF SERVICE ATTACK
MACHINE	HIDDEN TERMINAL PROBLEM
ACCESS INTERNET SERVICE PROVIDER	REGISTERED DOMAIN
LINKEDDOCUMENTS	WORLD WIDE WEB
TAG	ANCHOR
ADDRESS	UNIFORM RESOURCE LOCATOR
BUS	BRIDGE
INTERNET APPLICATION	VOICE OVER INTERNET PROTOCOL
OPEN SYSTEM	PHP
STORAGE	MASS STORAGE
INTERNET	VOIP
VIRUS	PROXY SERVER
