new_ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
215	DOMAIN_NAME%DOMAIN_NAME_SPECULATION	DOMAIN NAME	DOMAIN NAME SPECULATION	771	1	The act prohibits the use of domain names that are identical or confusingly similar to another's trademark or " common law trademark ".	One effect is that although the act does not outlaw domain name speculation (the process of registering potentially desirable domain names and later selling the rights to that name), it limits the practice to generic domain names.	Thus, a domain name speculator might legally register a generic name such as GreatUsedCars.com but might not be able to claim rights to the name BigAlUsedCars.com if Big Al is already in the used car business.
216	DOMAIN_NAME%DOMAIN_NAME_SYSTEM	DOMAIN NAME	DOMAIN NAME SYSTEM	246	3	This conversion is performed with the aid of numerous servers, called name servers, that are essentially directories that provide address translation services to clients.	Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).	The process of using domain name system to perform a translation is called a domain name system lookup.
217	DOMAIN_NAME%DOMAIN_NAME_SYSTEM	DOMAIN NAME	DOMAIN NAME SYSTEM	272	3	First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.	To accomplish this, it uses domain name system, another network protocol, to map the human-readable destination domain name to the proper mail server name, and then to its internet protocol address.	This is not unlike looking up the phone number of an acquaintance before dialing.
218	DOMAIN_NAME%DOMAIN_NAME_SYSTEM_LOOKUP	DOMAIN NAME	DOMAIN NAME SYSTEM LOOKUP	259	1	Typically, the club, perhaps with the assistance of the internet service provider, registers the name chosen by the club and contracts with the internet service provider to have that name included in the internet service provider's name server.	This means that all domain name system lookups regarding the new domain name will be directed to the internet service provider's name server, from which the proper translation will be obtained.	In this way, many registered domains can reside within a single internet service provider, each often occupying only a small portion of a single computer.
219	DOMAIN_NAME%MNEMONIC_DOMAIN_NAME	DOMAIN NAME	MNEMONIC DOMAIN NAME	228	2	Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.	As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.	Domain names are often descriptive of the organization registering the domain, which enhances their utility for humans.
220	DOMAIN_NAME%NAME_SERVER	DOMAIN NAME	NAME SERVER	245	1	Thus, if a human wants to send a message to a distant machine and identifies the destination by means of a mnemonic address, the software being used must be able to convert that address into an internet protocol address before transmitting the message.	This conversion is performed with the aid of numerous servers, called name servers, that are essentially directories that provide address translation services to clients.	Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).
221	DOMAIN_NAME%SUBDOMAINS	DOMAIN NAME	SUBDOMAINS	239	1	Note that domain names are extended to the left and separated by a period.	In some cases multiple extensions, called subdomains, are used as a means of organizing the names within a domain.	These subdomains often represent different networks within the domain's jurisdiction.
222	DOMAIN_NAME%TOP-LEVEL_DOMAINS	DOMAIN NAME	TOP-LEVEL DOMAINS	233	1	It is used to reflect the domain's classification, which in this case is " educational " as indicated by the edu suffix.	These suffixes are called Top-Level Domains (TLDs).	Other Top-Level Domains include com for commercial institutions, gov for U.S. government institutions, org for nonprofit organizations, museum for museums, info for unrestricted use, and net, which was originally intended for internet service providers but is now used on a much broader scale.
223	DOMAIN%DOMAIN_NAME	DOMAIN	DOMAIN NAME	228	2	Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.	As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.	Domain names are often descriptive of the organization registering the domain, which enhances their utility for humans.
224	DOMAIN%DOMAIN_NAME_SYSTEM	DOMAIN	DOMAIN NAME SYSTEM	246	2	This conversion is performed with the aid of numerous servers, called name servers, that are essentially directories that provide address translation services to clients.	Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).	The process of using domain name system to perform a translation is called a domain name system lookup.
225	DOMAIN%FIREWALL	DOMAIN	FIREWALL	650	2	Masquerading as a party other than one's self is known as spoofing.	Firewalls are also used to protect individual computers rather than entire networks or domains.	For example, if a computer is not being used as a webserver, a name server, or an email server, then a firewall should be installed at that computer to block all incoming traffic addressed to such applications.
226	DOMAIN%INTERNET_CORPORATION_FOR_ASSIGNED_NAME_AND_NUMBERS	DOMAIN	INTERNET CORPORATION FOR ASSIGNED NAME AND NUMBERS	227	1	The word region is in quotations here because, as we will soon see, such a region may not correspond to a physical area of the Internet.	Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.	As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.
227	DOMAIN%MNEMONIC_DOMAIN_NAME	DOMAIN	MNEMONIC DOMAIN NAME	228	2	Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.	As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.	Domain names are often descriptive of the organization registering the domain, which enhances their utility for humans.
228	DOMAIN%REGISTERED_DOMAIN	DOMAIN	REGISTERED DOMAIN	257	2	For example, it might be beneficial for a local chess club to have a presence on the Internet as KingsandQueens.org, but the club would likely not have the resources to establish its own network, maintain a link from this network to the Internet, and implement its own name server.	In this case, the club can contract with an access internet service provider to create the appearance of a registered domain using the resources already established by the internet service provider.	Typically, the club, perhaps with the assistance of the internet service provider, registers the name chosen by the club and contracts with the internet service provider to have that name included in the internet service provider's name server.
229	DOMAIN%REGISTRAR	DOMAIN	REGISTRAR	227	1	The word region is in quotations here because, as we will soon see, such a region may not correspond to a physical area of the Internet.	Each domain must be registered with Internet Corporation for Assigned Names and Numbers-a process handled by companies, called registrars, that have been assigned this role by Internet Corporation for Assigned Names and Numbers.	As a part of this registration process, the domain is assigned a mnemonic domain name, which is unique among all the domain names throughout the Internet.
230	DOMAIN%SUBDOMAINS	DOMAIN	SUBDOMAINS	239	2	Note that domain names are extended to the left and separated by a period.	In some cases multiple extensions, called subdomains, are used as a means of organizing the names within a domain.	These subdomains often represent different networks within the domain's jurisdiction.
231	DOMAIN%TOP-LEVEL_DOMAINS	DOMAIN	TOP-LEVEL DOMAINS	233	3	It is used to reflect the domain's classification, which in this case is " educational " as indicated by the edu suffix.	These suffixes are called Top-Level Domains (TLDs).	Other Top-Level Domains include com for commercial institutions, gov for U.S. government institutions, org for nonprofit organizations, museum for museums, info for unrestricted use, and net, which was originally intended for internet service providers but is now used on a much broader scale.
232	DOTTED_DECIMAL_NOTATION%INTERNET_PROTOCOL_ADDRESS	DOTTED DECIMAL NOTATION	INTERNET PROTOCOL ADDRESS	220	1	The internet service providers are then allowed to allocate the addresses within their awarded blocks to machines within their region of authority.	Thus, machines throughout the Internet are assigned unique internet protocol addresses. internet protocol addresses are traditionally written in dotted decimal notation in which the bytes of the address are separated by periods and each byte is expressed as an integer represented in traditional base 10 notation.	For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).
233	ELECTRONIC_COMMUNICATION%ELECTRONIC_COMMUNICATION_PRIVACY_ACT	ELECTRONIC COMMUNICATION	ELECTRONIC COMMUNICATION PRIVACY ACT	753	1	. on that service to any person or entity other than an addressee or intended recipient of such communication or an agent of such addressee or intended recipient.	In brief, the electronic communication privacy act confirms an individual's right to private communication-it is illegal for an internet service provider to release information about the communication of its clients, and it is illegal for unauthorized personnel to eavesdrop on another's communication.	But the electronic communication privacy act leaves room for debate.
234	EMAIL_MESSAGE%END_USER	EMAIL MESSAGE	END USER	270	1	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.	Consider the example case of a mail server mail.skaro.gov sending an email from end user " dalek " to end user " doctor " in the domain tardis.edu.	First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.
235	EMAIL_MESSAGE%PHISHING	EMAIL MESSAGE	PHISHING	625	2	The term phishing is a play on the word fishing because the process involved is to cast numerous " lines " in hopes that someone will " take the bait ".	Phishing is often carried out via email, and in this form, it is little more than an old telephone con.	The perpetrator sends email messages posing as a financial institution, a government bureau, or perhaps a law enforcement agency.
236	EMAIL_MESSAGE%SIMPLE_MAIL_TRANSFER_PROTOCOL	EMAIL MESSAGE	SIMPLE MAIL TRANSFER PROTOCOL	268	2	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
237	EMAIL_MESSAGE%SPAM	EMAIL MESSAGE	SPAM	638	1	In turn, an unprotected PC represents a significant threat to the integrity of the Internet.	Another problem associated with an abundance of unwanted messages is the proliferation of unwanted junk email, called spam.	However, unlike a denial of service attack, the volume of spam is rarely sufficient to overwhelm the computer system.
238	EMAIL_MESSAGE%SPAM_FILTER	EMAIL MESSAGE	SPAM FILTER	655	1	A properly installed firewall could block the messages from these malicious clients.	Some variations of firewalls are designed for specific purposes-an example being spam filters, which are firewalls designed to block unwanted email.	Many spam filters use rather sophisticated techniques to distinguish between desirable email and spam.
239	EMAIL_MESSAGE%TROJAN_HORSE	EMAIL MESSAGE	TROJAN HORSE	617	2	In other instances, the trojan horse might lie dormant until triggered by a specific event such as the occurrence of a preselected date.	trojan horses often arrive in the form of attachments to enticing email messages.	When the attachment is opened (that is, when the recipient asks to view the attachment), the misdeeds of the trojan horse are activated.
240	EMAIL%ELECTRONIC_MAIL_SYSTEM	EMAIL	ELECTRONIC MAIL SYSTEM	267	1	Electronic Mail A wide variety of systems now exist for exchanging messages between end users over the network; instant messaging (IM), browser-based online chatting, Twitter-based " tweets ", and the Facebook " wall " are but a few.	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.
241	EMAIL%EMAIL_MESSAGE	EMAIL	EMAIL MESSAGE	268	1	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
242	EMAIL%INTERNET_MAIL_ACCESS_PROTOCOL	EMAIL	INTERNET MAIL ACCESS PROTOCOL	300	2	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
243	EMAIL%MAIL_SERVER	EMAIL	MAIL SERVER	270	2	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.	Consider the example case of a mail server mail.skaro.gov sending an email from end user " dalek " to end user " doctor " in the domain tardis.edu.	First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.
244	EMAIL%MULTIPURPOSE_INTERNET_MAIL_EXTENSION	EMAIL	MULTIPURPOSE INTERNET MAIL EXTENSION	298	1	Other protocols come into play for other aspects of transporting email.	Because simple mail transfer protocol was initially designed for transferring text messages encoded with ASCII, additional protocols such as multipurpose internet mail extension (MIME) have been developed to convert non-ASCII data to simple mail transfer protocol compatible form.	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.
245	EMAIL%PHISHING	EMAIL	PHISHING	625	1	The term phishing is a play on the word fishing because the process involved is to cast numerous " lines " in hopes that someone will " take the bait ".	Phishing is often carried out via email, and in this form, it is little more than an old telephone con.	The perpetrator sends email messages posing as a financial institution, a government bureau, or perhaps a law enforcement agency.
246	EMAIL%POST_OFFICE_PROTOCOL_VERSION_3	EMAIL	POST OFFICE PROTOCOL VERSION 3	300	1	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
247	EMAIL%REMOTE_MAIL_SERVER	EMAIL	REMOTE MAIL SERVER	282	1	Untold millions of these exchanges occur on the network each day, known only to the software agents that transport email across the Internet.	In the simplest case, the remote mail server will take mail.skaro.gov at its word in line 2, accepting that the sending server is the machine named mail from the domain skaro.gov. simple mail transfer protocol is an example of a protocol originally built on trust that has subsequently been abused by spammers and other Internet miscreants.	Modern mail servers must use extended versions of simple mail transfer protocol or their equivalent to help ensure that email is transmitted securely.
248	EMAIL%REMOTE_MAIL_SERVER_PROCESS	EMAIL	REMOTE MAIL SERVER PROCESS	275	1	Similarly, when the server process at the other end answers, the protocol states that it must identify itself to the caller.	The transcript of their simple mail transfer protocol exchange might look something like this: In line 1, the remote mail server process answers the caller by announcing its name, the protocol it speaks, and other optional information, such as the version of protocol, and the date and time.	In line 2, the sending mail server process introduces itself.
249	EMAIL%SIMPLE_MAIL_TRANSFER_PROTOCOL	EMAIL	SIMPLE MAIL TRANSFER PROTOCOL	268	2	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
250	EMAIL%SPAM	EMAIL	SPAM	638	1	In turn, an unprotected PC represents a significant threat to the integrity of the Internet.	Another problem associated with an abundance of unwanted messages is the proliferation of unwanted junk email, called spam.	However, unlike a denial of service attack, the volume of spam is rarely sufficient to overwhelm the computer system.
251	ENCODED_INFORMATION%ENCRYPTION	ENCODED INFORMATION	ENCRYPTION	686	1	However, passwords can be compromised and are of little value when data are transferred over networks and internets where messages are relayed by unknown entities.	In these cases encryption can be used so that even if the data fall into unscrupulous hands, the encoded information will remain confidential.	Today, many traditional Internet applications have been altered to incorporate encryption techniques, producing what are called " secure versions " of the applications.
252	ENCRYPTION%DECRYPT	ENCRYPTION	DECRYPT	692	1	Some use the presence or absence of the icon to indicate whether secure sockets layer is being used; others display the padlock in either the locked or unlocked position.	One of the more fascinating topics in the field of encryption is public-key encryption, which involves techniques by which encryption systems are designed so that having knowledge about how messages are encrypted does not allow one to decrypt messages.	This characteristic is somewhat counterintuitive.
253	ENCRYPTION%DIGITAL_SIGNATURE	ENCRYPTION	DIGITAL SIGNATURE	718	1	By attaching that signature to a message, the sender can mark the message as being authentic.	A digital signature can be as simple as the encrypted version of the message itself.	All the sender must do is encrypt the message being transmitted using his or her private-key (the key typically used for decrypting).
254	ENCRYPTION%ENCODED_INFORMATION	ENCRYPTION	ENCODED INFORMATION	686	1	However, passwords can be compromised and are of little value when data are transferred over networks and internets where messages are relayed by unknown entities.	In these cases encryption can be used so that even if the data fall into unscrupulous hands, the encoded information will remain confidential.	Today, many traditional Internet applications have been altered to incorporate encryption techniques, producing what are called " secure versions " of the applications.
255	ENCRYPTION%PUBLIC-KEY	ENCRYPTION	PUBLIC-KEY	697	1	A public-key encryption system involves the use of two values called keys.	One key, known as the public-key, is used to encrypt messages; the other key, known as the private-key, is required to decrypt messages.	To use the system, the public-key is first distributed to those who might need to send messages to a particular destination.
256	ENCRYPTION%PUBLIC-KEY_ENCRYPTION	ENCRYPTION	PUBLIC-KEY ENCRYPTION	692	4	Some use the presence or absence of the icon to indicate whether secure sockets layer is being used; others display the padlock in either the locked or unlocked position.	One of the more fascinating topics in the field of encryption is public-key encryption, which involves techniques by which encryption systems are designed so that having knowledge about how messages are encrypted does not allow one to decrypt messages.	This characteristic is somewhat counterintuitive.
257	ENCRYPTION%PUBLIC-KEY_ENCRYPTION_SYSTEM	ENCRYPTION	PUBLIC-KEY ENCRYPTION SYSTEM	695	2	After all, intuition would suggest that if a person knows how messages are encrypted, then that person should be able to reverse the encryption process and thus decrypt messages.	But public-key encryption systems defy this intuitive logic.	A public-key encryption system involves the use of two values called keys.
258	END_USER%CONTENT_DELIVERY_NETWORK	END USER	CONTENT DELIVERY NETWORK	344	2	In order for this type of streaming to scale to thousands or even millions of simultaneous users, each with his or her own personal stream, replication of the content to many distinct servers is essential.	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.
259	ETHERNET_NETWORK%EMBEDDED_VOICE_OVER_INTERNET_PROTOCOL_PHONE	ETHERNET NETWORK	EMBEDDED VOICE OVER INTERNET PROTOCOL PHONE	319	1	The third type of voice over internet protocol comes in the form of embedded voice over internet protocol phones, which are devices that replace a traditional telephone with an equivalent handset connected directly to a transmission control protocol/internet protocol network.	Embedded voice over internet protocol phones are becoming increasingly common for large organizations, many of whom are replacing their traditional internal copper wire telephone systems with voice over internet protocol over Ethernet to reduce costs and enhance features.	Finally, the current generation of smartphones use wireless voice over internet protocol technology.
260	ETHERNET_NETWORK%LINK_LAYER	ETHERNET NETWORK	LINK LAYER	530	1	Thus the link layer must deal with the communication details particular to the individual network in which the computer resides.	For instance, if that network is an Ethernet, the link layer applies carrier sense, multiple access with collision detection.	If the network is a wifi network, the link layer applies carrier sense, multiple access with collision avoidance.
261	ETHERNET_NETWORK%ROUTER	ETHERNET NETWORK	ROUTER	97	1	Indeed, traditional telephone communication was handled by worldwide internet systems well before the Internet was popularized.	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.
262	ETHERNET%CARRIER_SENSE	ETHERNET	CARRIER SENSE	43	1	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
263	ETHERNET%ETHERNET_NETWORK	ETHERNET	ETHERNET NETWORK	24	2	Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).	The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.	The star topology has roots as far back as the 1970s.
264	ETHERNET%LINK_LAYER	ETHERNET	LINK LAYER	530	1	Thus the link layer must deal with the communication details particular to the individual network in which the computer resides.	For instance, if that network is an Ethernet, the link layer applies carrier sense, multiple access with collision detection.	If the network is a wifi network, the link layer applies carrier sense, multiple access with collision avoidance.
265	EXTENSIBLE_MARKUP_LANGUAGE%EXTENSIBLE_MARKUP_LANGUAGE_STANDARD	EXTENSIBLE MARKUP LANGUAGE	EXTENSIBLE MARKUP LANGUAGE STANDARD	432	1	Actually, extensible markup language is a simplified derivative of an older set of standards called the Standard Generalized Markup Language, better known as SGML.	Following the extensible markup language standard, notational systems called markup languages have been developed for representing mathematics, multimedia presentations, and music.	In fact, hypertext markup language is the markup language based on the extensible markup language standard that was developed for representing webpages.
266	EXTENSIBLE_MARKUP_LANGUAGE%HYPERTEXT_MARKUP_LANGUAGE	EXTENSIBLE MARKUP LANGUAGE	HYPERTEXT MARKUP LANGUAGE	433	2	Following the extensible markup language standard, notational systems called markup languages have been developed for representing mathematics, multimedia presentations, and music.	In fact, hypertext markup language is the markup language based on the extensible markup language standard that was developed for representing webpages.	Actually, the original version of hypertext markup language was developed before the extensible markup language standard was solidified, and therefore some features of hypertext markup language do not strictly conform to extensible markup language.
267	EXTENSIBLE_MARKUP_LANGUAGE%STANDARD_GENERALIZED_MARKUP_LANGUAGE	EXTENSIBLE MARKUP LANGUAGE	STANDARD GENERALIZED MARKUP LANGUAGE	431	1	The extensible markup language (XML) is a standardized style (similar to that of our music example) for designing notational systems for representing data as text files.	Actually, extensible markup language is a simplified derivative of an older set of standards called the Standard Generalized Markup Language, better known as SGML.	Following the extensible markup language standard, notational systems called markup languages have been developed for representing mathematics, multimedia presentations, and music.
268	FILE_DISTRIBUTION%SWARM	FILE DISTRIBUTION	SWARM	134	1	In this case, one peer may receive a file from another and then provide that file to other peers.	The collection of peers participating in such a distribution is sometimes called a swarm.	The swarm approach to file distribution is in contrast to earlier approaches that applied the client/server model by establishing a central distribution center (the server) from which clients downloaded files (or at least found sources for those files).
269	FILE_TRANSFER_PROTOCOL%APPLICATION_LAYER	FILE TRANSFER PROTOCOL	APPLICATION LAYER	508	1	We begin our journey with the application layer.	The application layer consists of those software units such as clients and servers that use Internet communication to carry out their tasks.	Although the names are similar, this layer is not restricted to software in the application classification presented in Section 3.2, but also includes many utility packages.
270	FILE_TRANSFER_PROTOCOL%FILE_TRANSFER_PROTOCOL_PROXY_SERVER	FILE TRANSFER PROTOCOL	FILE TRANSFER PROTOCOL PROXY SERVER	670	2	The second advantage is that the proxy server is in position to filter all the messages sent from the server to the client.	For example, an file transfer protocol proxy server could check all incoming files for the presence of known viruses and block all infected files.	Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).
271	FILE_TRANSFER_PROTOCOL%PROXY_SERVER	FILE TRANSFER PROTOCOL	PROXY SERVER	663	2	Over time, as many clients within an organization's intranet deal with a distant server, that server can collect a multitude of information about the intranet's internal structure-information that can later be used for malicious activity.	To counter this, an organization can establish a proxy server for a particular kind of service (file transfer protocol, hypertext transfer protocol, telnet, etc.).	Then, each time a client within the intranet tries to contact a server of that type, the client is actually placed in contact with the proxy server.
272	FILE_TRANSFER_PROTOCOL%PROXY_SERVER	FILE TRANSFER PROTOCOL	PROXY SERVER	670	2	The second advantage is that the proxy server is in position to filter all the messages sent from the server to the client.	For example, an file transfer protocol proxy server could check all incoming files for the presence of known viruses and block all infected files.	Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).
273	FILE%FILE_SERVER	FILE	FILE SERVER	125	1	Other machines on the network then requested access to the records as they needed them.	Thus the machine that actually contained the records played the role of a server (called a file server), and the other machines played the role of clients that requested access to the files that were stored at the file server.	Today the client/server model is used extensively in network applications, as we will see later in this chapter.
274	FILE%FILE_TRANSFER_PROTOCOL	FILE	FILE TRANSFER PROTOCOL	263	1	In the earlier days of the Internet, most applications were separate, simple programs that each followed a network protocol.	A newsreader application contacted servers using the Network News Transfer Protocol (NNTP), an application for listing and copying files across the network implemented the file transfer protocol (FTP), or an application for accessing another computer from a great distance used the Telnet protocol, or later the secure shell (SSH) protocol.	As webservers and browsers have become more sophisticated, more and more of these traditional network applications have come to be handled by webpages via the powerful hypertext transfer protocol (HTTP).
275	FIREWALL%AUDITING_SOFTWARE	FIREWALL	AUDITING SOFTWARE	672	3	Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).	Using network auditing software, a system administrator can detect a sudden increase in message traffic at various locations within the administrator's realm, monitor the activities of the system's firewalls, and analyze the pattern of requests being made by the individual computers in order to detect irregularities.	In effect, auditing software is an administrator's primary tool for identifying problems before they grow out of control.
276	FIREWALL%SPAM_FILTER	FIREWALL	SPAM FILTER	655	2	A properly installed firewall could block the messages from these malicious clients.	Some variations of firewalls are designed for specific purposes-an example being spam filters, which are firewalls designed to block unwanted email.	Many spam filters use rather sophisticated techniques to distinguish between desirable email and spam.
277	FIREWALL%SPOOFING	FIREWALL	SPOOFING	649	1	Another common role of a firewall at a gateway is to block all incoming messages that have origin addresses within the region accessed through the gateway because such a message would indicate that an outsider is pretending to be a member of the inside region.	Masquerading as a party other than one's self is known as spoofing.	Firewalls are also used to protect individual computers rather than entire networks or domains.
278	FORWARD_PROCESS%ADDRESSING_SYSTEM	FORWARD PROCESS	ADDRESSING SYSTEM	104	1	The reason that routers are so named is that their purpose is to forward messages in their proper directions.	This forwarding process is based on an internetwide addressing system in which all the devices in an internet (including the machines in the original networks and the routers) are assigned unique addresses.	Thus, each machine in one of the original networks has two addresses: its original " local " address within its own network and its internet address.
279	FORWARD_PROCESS%FORWARDING_TABLE	FORWARD PROCESS	FORWARDING TABLE	108	1	From there it is forwarded in the proper direction.	For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.	The " point " at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.
280	FORWARD_PROCESS%HOP_COUNT	FORWARD PROCESS	HOP COUNT	584	1	Much of the internet protocol standard associated with routing deals with the protocols used for communication among neighboring network layers as they interchange routing information.	An interesting feature associated with forwarding is that each time an internet protocol network layer at a message's origin prepares a packet, it appends a value called a hop count, or time to live, to that packet.	This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.
281	FORWARDING_TABLE%NETWORK_LAYER	FORWARDING TABLE	NETWORK LAYER	524	5	In fact, the combination of the network layer and the link layer below it constitutes the software residing on the Internet routers.	The network layer is in charge of maintaining the router's forwarding table and using that table to determine the direction in which to forward packets.	The link layer at the router is in charge of receiving and transmitting the packets.
282	FOUR-LEVEL_HIERARCHY%SEVEN-LEVEL_HIERARCHY	FOUR-LEVEL HIERARCHY	SEVEN-LEVEL HIERARCHY	558	1	One standard that has resulted is the Open System Interconnection (OSI) reference model, produced by the International Organization for Standardization.	This standard is based on a seven-level hierarchy as opposed to the four-level hierarchy we have just described.	It is an often-quoted model because it carries the authority of an international organization, but it has been slow to replace the four-level point of view, mainly because it was established after the four-level hierarchy had already become the de facto standard for the Internet.
283	GATEWAY%FIREWALL	GATEWAY	FIREWALL	645	4	A primary prevention technique is to filter traffic passing through a point in the network, usually with a program called a firewall.	For instance, a firewall might be installed at the gateway of an organization's intranet to filter messages passing in and out of the region.	Such firewalls might be designed to block outgoing messages with certain destination addresses or to block incoming messages from origins that are known to be sources of trouble.
284	HEAD%HYPERTEXT_MARKUP_LANGUAGE_SOURCE_DOCUMENT	HEAD	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	384	1	Note that the tags are delineated by the symbols < and >.	The hypertext markup language source document consists of two sections-a head (surrounded by the < head > and < / head > tags) and a body (surrounded by the < body > and < / body > tags).	The distinction between the head and body of a webpage is similar to that of the head and body of an interoffice memo.
285	HOST%4G	HOST	4G	323	2	Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.	However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.	Internet Multimedia Streaming
