ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
91	EMAIL%POST_OFFICE_PROTOCOL_VERSION_3	EMAIL	POST OFFICE PROTOCOL VERSION 3	300	1	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
92	EMAIL%SIMPLE_MAIL_TRANSFER_PROTOCOL	EMAIL	SIMPLE MAIL TRANSFER PROTOCOL	268	3	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
93	EMAIL%SIMPLE_MAIL_TRANSFER_PROTOCOL	EMAIL	SIMPLE MAIL TRANSFER PROTOCOL	548	3	For example, if a Web browser is asked to retrieve the document whose uniform resource locator is http://www .zoo.org/animals/frog.html, the browser assumes that it should contact the hypertext transfer protocol server at www.zoo.org via port number 80.	Likewise, when sending email, an simple mail transfer protocol client assumes that it should communicate with the simple mail transfer protocol mail server through port number 25.	In summary, communication over the Internet involves the interaction of four layers of software.
94	EMAIL%TROJAN_HORSE	EMAIL	TROJAN HORSE	617	2	In other instances, the trojan horse might lie dormant until triggered by a specific event such as the occurrence of a preselected date.	trojan horses often arrive in the form of attachments to enticing email messages.	When the attachment is opened (that is, when the recipient asks to view the attachment), the misdeeds of the trojan horse are activated.
95	ENCRYPTION%PRIVATE-KEY	ENCRYPTION	PRIVATE-KEY	697	1	A public-key encryption system involves the use of two values called keys.	One key, known as the public-key, is used to encrypt messages; the other key, known as the private-key, is required to decrypt messages.	To use the system, the public-key is first distributed to those who might need to send messages to a particular destination.
96	ENCRYPTION%PUBLIC-KEY_ENCRYPTION	ENCRYPTION	PUBLIC-KEY ENCRYPTION	692	4	Some use the presence or absence of the icon to indicate whether secure sockets layer is being used; others display the padlock in either the locked or unlocked position.	One of the more fascinating topics in the field of encryption is public-key encryption, which involves techniques by which encryption systems are designed so that having knowledge about how messages are encrypted does not allow one to decrypt messages.	This characteristic is somewhat counterintuitive.
97	ETHERNET_NETWORK%CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_DETECTION	ETHERNET NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	43	1	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
98	ETHERNET_NETWORK%HUB	ETHERNET NETWORK	HUB	33	1	Instead, it may have a very short bus with long links to the individual machines, meaning that the network would look more like a star.	Indeed, sometimes a bus network is created by running links from each computer to a central location where they are connected to a device called a hub.	This hub is little more than a very short bus.
99	EXTENSIBLE_MARKUP_LANGUAGE%HYPERTEXT_MARKUP_LANGUAGE	EXTENSIBLE MARKUP LANGUAGE	HYPERTEXT MARKUP LANGUAGE	433	1	Following the extensible markup language standard, notational systems called markup languages have been developed for representing mathematics, multimedia presentations, and music.	In fact, hypertext markup language is the markup language based on the extensible markup language standard that was developed for representing webpages.	Actually, the original version of hypertext markup language was developed before the extensible markup language standard was solidified, and therefore some features of hypertext markup language do not strictly conform to extensible markup language.
100	FILE_TRANSFER_PROTOCOL%APPLICATION_LAYER	FILE TRANSFER PROTOCOL	APPLICATION LAYER	511	1	For example, software for transferring files using file transfer protocol or for providing remote login capabilities using secure shell have become so common that they are normally considered utility software.	The application layer uses the transport layer to send and receive messages over the Internet in much the same way that you would use a shipping company to send and receive packages.	Just as it is your responsibility to provide an address compatible with the specifications of the shipping company, it is the application layer's responsibility to provide an address that is compatible with the internet infrastructure.
101	FIREWALL%AUDITING_SOFTWARE	FIREWALL	AUDITING SOFTWARE	672	1	Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).	Using network auditing software, a system administrator can detect a sudden increase in message traffic at various locations within the administrator's realm, monitor the activities of the system's firewalls, and analyze the pattern of requests being made by the individual computers in order to detect irregularities.	In effect, auditing software is an administrator's primary tool for identifying problems before they grow out of control.
102	FORWARDING_TABLE%NETWORK_LAYER	FORWARDING TABLE	NETWORK LAYER	526	2	The link layer at the router is in charge of receiving and transmitting the packets.	Thus, when the network layer at a packet's origin receives the packet from the transport layer, it uses its forwarding table to determine where the packet should be sent to get it started on its journey.	Having determined the proper direction, the network layer hands the packet to the link layer for actual transmission.
103	GATEWAY%FIREWALL	GATEWAY	FIREWALL	645	3	A primary prevention technique is to filter traffic passing through a point in the network, usually with a program called a firewall.	For instance, a firewall might be installed at the gateway of an organization's intranet to filter messages passing in and out of the region.	Such firewalls might be designed to block outgoing messages with certain destination addresses or to block incoming messages from origins that are known to be sources of trouble.
104	HYPERTEXT_DOCUMENT%HYPERTEXT_TRANSFER_PROTOCOL	HYPERTEXT DOCUMENT	HYPERTEXT TRANSFER PROTOCOL	360	1	Its task is to provide access to the documents under its control as requested by clients (browsers).	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).
105	HYPERTEXT_DOCUMENT%TAG	HYPERTEXT DOCUMENT	TAG	377	3	A traditional hypertext document is similar to a text file because its text is encoded character by character using a system such as ASCII or Unicode.	The distinction is that a hypertext document also contains special symbols, called tags, that describe how the document should appear on a display screen, what multimedia resources (such as images) should accompany the document, and which items within the document are linked to other documents.	This system of tags is known as hypertext markup language (HTML).
106	HYPERTEXT_DOCUMENT%UNIFORM_RESOURCE_LOCATOR	HYPERTEXT DOCUMENT	UNIFORM RESOURCE LOCATOR	361	3	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).	Each uniform resource locator contains the information needed by a browser to contact the proper server and request the desired document.
107	HYPERTEXT_DOCUMENT%WEBSERVER	HYPERTEXT DOCUMENT	WEBSERVER	358	1	Common Internet browsers include Firefox, Safari, and Internet Explorer.	The webserver resides on a computer containing hypertext documents to be accessed.	Its task is to provide access to the documents under its control as requested by clients (browsers).
108	HYPERTEXT_DOCUMENT%WORLD_WIDE_WEB	HYPERTEXT DOCUMENT	WORLD WIDE WEB	352	1	His first software for implementing the Web was released in December, 1990.	While this early prototype did not yet support multimedia data, it included the key components of what we now recognize as the world wide web: a hypertext document format for embedding hyperlinks to other documents; a protocol for transferring hypertext across the network, and a server process that supplied hypertext pages upon request.	From this humble beginning, the Web quickly grew to support images, audio and video, and by the mid-1990s had become the dominant application powering the growth of the Internet.
109	HYPERTEXT_MARKUP_LANGUAGE%BODY	HYPERTEXT MARKUP LANGUAGE	BODY	384	4	Note that the tags are delineated by the symbols < and >.	The hypertext markup language source document consists of two sections-a head (surrounded by the < head > and < / head > tags) and a body (surrounded by the < body > and < / body > tags).	The distinction between the head and body of a webpage is similar to that of the head and body of an interoffice memo.
110	HYPERTEXT_MARKUP_LANGUAGE%EXTENSIBLE_MARKUP_LANGUAGE	HYPERTEXT MARKUP LANGUAGE	EXTENSIBLE MARKUP LANGUAGE	390	1	CERN is where the original hypertext markup language markup language was developed as well as the hypertext transfer protocol protocol for transferring hypertext markup language documents over the Internet.	Today world wide web consortium is the source of many standards (including standards for extensible markup language and numerous multimedia applications) that lead to compatibility over a wide range of Internet products.	You can learn more about world wide web consortium via its website at http://www.w3c.org.
111	HYPERTEXT_MARKUP_LANGUAGE%HEAD	HYPERTEXT MARKUP LANGUAGE	HEAD	384	4	Note that the tags are delineated by the symbols < and >.	The hypertext markup language source document consists of two sections-a head (surrounded by the < head > and < / head > tags) and a body (surrounded by the < body > and < / body > tags).	The distinction between the head and body of a webpage is similar to that of the head and body of an interoffice memo.
112	HYPERTEXT_MARKUP_LANGUAGE%SEARCH_ENGINE	HYPERTEXT MARKUP LANGUAGE	SEARCH ENGINE	444	1	The difference is subtle but important.	The semantic approach would allow search engines (websites that assist users in locating Web material pertaining to a subject of interest) to identify recipes that contain or do not contain certain ingredients, which would be a substantial improvement over the current state of the art in which only recipes that do or do not contain certain words can be isolated.	More precisely, if semantic tags are used, a search engine can identify recipes for lasagna that do not contain spinach, whereas a similar search based merely on word content would skip over a recipe that started with the statement " This lasagna does not contain spinach ".
113	HYPERTEXT_MARKUP_LANGUAGE%TAG	HYPERTEXT MARKUP LANGUAGE	TAG	381	2	The process is analogous to adding typesetting directions to a plain typed text (perhaps using a red pen) so that a typesetter will know how the material should appear in its final form.	In the case of hypertext, the red markings are replaced by hypertext markup language tags, and a browser ultimately plays the role of the typesetter, reading the hypertext markup language tags to learn how the text is to be presented on the computer screen.	The hypertext markup language-encoded version (called the source version) of an extremely simple webpage is shown in Figure 4.9a.
114	HYPERTEXT_MARKUP_LANGUAGE%TAG	HYPERTEXT MARKUP LANGUAGE	TAG	383	2	The hypertext markup language-encoded version (called the source version) of an extremely simple webpage is shown in Figure 4.9a.	Note that the tags are delineated by the symbols < and >.	The hypertext markup language source document consists of two sections-a head (surrounded by the < head > and < / head > tags) and a body (surrounded by the < body > and < / body > tags).
115	HYPERTEXT_TRANSFER_PROTOCOL_SERVER%PORT_NUMBER	HYPERTEXT TRANSFER PROTOCOL SERVER	PORT NUMBER	547	1	Users of the Internet rarely need to be concerned with port numbers because the common applications have universally accepted port numbers.	For example, if a Web browser is asked to retrieve the document whose uniform resource locator is http://www .zoo.org/animals/frog.html, the browser assumes that it should contact the hypertext transfer protocol server at www.zoo.org via port number 80.	Likewise, when sending email, an simple mail transfer protocol client assumes that it should communicate with the simple mail transfer protocol mail server through port number 25.
116	HYPERTEXT_TRANSFER_PROTOCOL%END_USER	HYPERTEXT TRANSFER PROTOCOL	END USER	266	1	Nevertheless, when examining a network protocol for an Internet application for the first time, it behooves us to begin with a few simpler examples before moving on to hypertext transfer protocol in the next section.	Electronic Mail A wide variety of systems now exist for exchanging messages between end users over the network; instant messaging (IM), browser-based online chatting, Twitter-based " tweets ", and the Facebook " wall " are but a few.	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.
117	HYPERTEXT_TRANSFER_PROTOCOL%INSTANT_MESSAGING	HYPERTEXT TRANSFER PROTOCOL	INSTANT MESSAGING	266	1	Nevertheless, when examining a network protocol for an Internet application for the first time, it behooves us to begin with a few simpler examples before moving on to hypertext transfer protocol in the next section.	Electronic Mail A wide variety of systems now exist for exchanging messages between end users over the network; instant messaging (IM), browser-based online chatting, Twitter-based " tweets ", and the Facebook " wall " are but a few.	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.
118	HYPERTEXT_TRANSFER_PROTOCOL%SECURE_SOCKET_LAYER	HYPERTEXT TRANSFER PROTOCOL	SECURE SOCKET LAYER	688	2	Today, many traditional Internet applications have been altered to incorporate encryption techniques, producing what are called " secure versions " of the applications.	A prime example is the secure version of hypertext transfer protocol, known as HTTPS (hypertext transfer protocol over secure socket layer), which is used by most financial institutions to provide customers with secure internet access to their accounts.	The backbone of hypertext transfer protocol over secure socket layer is the protocol system known as secure sockets layer (SSL), which was originally developed by Netscape to provide secure communication links between Web clients and servers.
119	HYPERTEXT%BROWSER	HYPERTEXT	BROWSER	355	2	Web Implementation	Software packages that allow users to access hypertext on the Internet fall into one of two categories: browsers and webservers.	A browser resides on the user's computer and is charged with the tasks of obtaining materials requested by the user and presenting these materials to the user in an organized manner.
120	HYPERTEXT%HYPERTEXT_DOCUMENT	HYPERTEXT	HYPERTEXT DOCUMENT	352	3	His first software for implementing the Web was released in December, 1990.	While this early prototype did not yet support multimedia data, it included the key components of what we now recognize as the world wide web: a hypertext document format for embedding hyperlinks to other documents; a protocol for transferring hypertext across the network, and a server process that supplied hypertext pages upon request.	From this humble beginning, the Web quickly grew to support images, audio and video, and by the mid-1990s had become the dominant application powering the growth of the Internet.
121	HYPERTEXT%PHP	HYPERTEXT	PHP	478	1	A similar approach is used by Microsoft, where the templates from which customized webpages are constructed are called active server pages (ASP).	In contrast to these proprietary systems, PHP (originally standing for Personal Home Page but now considered to mean PHP Hypertext Preprocessor) is an open source system for implementing server-side functionality.	Finally, we would be remiss if we did not recognize the security and ethical problems that arise from allowing clients and servers to execute programs on the other's machine.
122	HYPERTEXT%WEBSERVERS	HYPERTEXT	WEBSERVERS	355	1	Web Implementation	Software packages that allow users to access hypertext on the Internet fall into one of two categories: browsers and webservers.	A browser resides on the user's computer and is charged with the tasks of obtaining materials requested by the user and presenting these materials to the user in an organized manner.
123	HYPERTEXT%WORLD_WIDE_WEB	HYPERTEXT	WORLD WIDE WEB	350	2	4.3 The world wide web	The world wide web had its origins in the work of Tim Berners-Lee who realized the potential of combining internet technology with the concept of linkeddocuments, called hypertext.	His first software for implementing the Web was released in December, 1990.
124	HYPERTEXT%WORLD_WIDE_WEB	HYPERTEXT	WORLD WIDE WEB	352	2	His first software for implementing the Web was released in December, 1990.	While this early prototype did not yet support multimedia data, it included the key components of what we now recognize as the world wide web: a hypertext document format for embedding hyperlinks to other documents; a protocol for transferring hypertext across the network, and a server process that supplied hypertext pages upon request.	From this humble beginning, the Web quickly grew to support images, audio and video, and by the mid-1990s had become the dominant application powering the growth of the Internet.
125	INTERNET_INFRASTRUCTURE%VOICE_OVER_INTERNET_PROTOCOL	INTERNET INFRASTRUCTURE	VOICE OVER INTERNET PROTOCOL	306	1	VoIP	As an example of a more recent Internet application, consider voice over internet protocol (VoIP) in which the internet infrastructure is used to provide voice communication similar to that of traditional telephone systems.	In its simplest form, voice over internet protocol consists of two processes on different machines transferring audio data via the peer-to-peer model-a process that in itself presents no significant problems.
126	INTERNET_PROTOCOL_ADDRESS%BIT_PATTERN	INTERNET PROTOCOL ADDRESS	BIT PATTERN	221	2	Thus, machines throughout the Internet are assigned unique internet protocol addresses. internet protocol addresses are traditionally written in dotted decimal notation in which the bytes of the address are separated by periods and each byte is expressed as an integer represented in traditional base 10 notation.	For example, using dotted decimal notation, the pattern 5.2 would represent the two-byte bit pattern 0000010100000010, which consists of the byte 00000101 (represented by 5) followed by the byte 00000010 (represented by 2), and the pattern 17.12.25 would represent the three-byte bit pattern consisting of the byte 00010001 (which is 17 written in binary notation), followed by the byte 00001100 (12 written in binary), followed by the byte 00011001 (25 written in binary).	In summary, a 32-bit internet protocol address might appear as 192.207.177.133 when expressed in dotted decimal notation.
127	INTERNET_PROTOCOL_ADDRESS%NAME_SERVER	INTERNET PROTOCOL ADDRESS	NAME SERVER	245	1	Thus, if a human wants to send a message to a distant machine and identifies the destination by means of a mnemonic address, the software being used must be able to convert that address into an internet protocol address before transmitting the message.	This conversion is performed with the aid of numerous servers, called name servers, that are essentially directories that provide address translation services to clients.	Collectively, these name servers are used as an Internet-wide directory system known as the domain name system (DNS).
128	INTERNET_PROTOCOL_NETWORK%4G	INTERNET PROTOCOL NETWORK	4G	342	1	The Third Generation (" 3G ") phone network provided higher data rates, allowing for mobile video calls and other bandwidth-intensive activities.	The 4G network provides even higher data rates and a fully packet-switched internet protocol network, which has allowed smartphones to enjoy the connectivity and flexibility previously available only to broadband-enabled PCs.	In order for this type of streaming to scale to thousands or even millions of simultaneous users, each with his or her own personal stream, replication of the content to many distinct servers is essential.
129	INTERNET_PROTOCOL_NETWORK%HOP_COUNT	INTERNET PROTOCOL NETWORK	HOP COUNT	584	3	Much of the internet protocol standard associated with routing deals with the protocols used for communication among neighboring network layers as they interchange routing information.	An interesting feature associated with forwarding is that each time an internet protocol network layer at a message's origin prepares a packet, it appends a value called a hop count, or time to live, to that packet.	This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.
130	INTERNET_PROTOCOL_NETWORK%HOP_COUNT	INTERNET PROTOCOL NETWORK	HOP COUNT	586	3	This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.	Each time an internet protocol network layer forwards a packet, it decrements that packet's hop count by one.	With this information, the network layer can protect the Internet from packets circling endlessly within the system.
131	INTERNET_PROTOCOL%INTERNET_PROTOCOL_ADDRESS	INTERNET PROTOCOL	INTERNET PROTOCOL ADDRESS	217	1	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.	Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).	Blocks of consecutively numbered internet protocol addresses are awarded to internet service providers by the Internet Corporation for Assigned Names and Numbers (ICANN), which is a nonprofit corporation established to coordinate the Internet's operation.
132	INTERNET_PROTOCOL%INTERNET_PROTOCOL_NETWORK	INTERNET PROTOCOL	INTERNET PROTOCOL NETWORK	584	1	Much of the internet protocol standard associated with routing deals with the protocols used for communication among neighboring network layers as they interchange routing information.	An interesting feature associated with forwarding is that each time an internet protocol network layer at a message's origin prepares a packet, it appends a value called a hop count, or time to live, to that packet.	This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.
133	INTERNET_SERVICE_PROVIDER%ACCESS_INTERNET_SERVICE_PROVIDER	INTERNET SERVICE PROVIDER	ACCESS INTERNET SERVICE PROVIDER	186	2	Access to this core is usually provided by an intermediary called an access or tier-3 internet service provider.	An access internet service provider is essentially an independent internet, sometimes called an intranet, operated by a single authority that is in the business of supplying internet access to individual homes and businesses.	Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.
134	INTERNET_SERVICE_PROVIDER%INTERNET_PROTOCOL_ADDRESS	INTERNET SERVICE PROVIDER	INTERNET PROTOCOL ADDRESS	218	2	Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).	Blocks of consecutively numbered internet protocol addresses are awarded to internet service providers by the Internet Corporation for Assigned Names and Numbers (ICANN), which is a nonprofit corporation established to coordinate the Internet's operation.	The internet service providers are then allowed to allocate the addresses within their awarded blocks to machines within their region of authority.
135	INTERNET_SERVICE_PROVIDER%TIER-1_INTERNET_SERVICE_PROVIDER	INTERNET SERVICE PROVIDER	TIER-1 INTERNET SERVICE PROVIDER	176	3	The system of networks operated by the internet service providers can be classified in a hierarchy according to the role they play in the overall Internet structure (Figure 4.7).	At the top of this hierarchy are relatively few tier-1 internet service providers that consist of very highspeed, high-capacity, international wide area networks.	These networks are thought of as the backbone of the Internet.
136	INTERNET_SERVICE_PROVIDER%TIER-2_INTERNET_SERVICE_PROVIDER	INTERNET SERVICE PROVIDER	TIER-2 INTERNET SERVICE PROVIDER	180	2	An example would be a company that originated as a traditional telephone company and has expanded its scope into providing other communication services.	Connecting to the tier-1 internet service providers are the tier-2 internet service providers that tend to be more regional in scope and less potent in their capabilities.	The distinction between the tier-1 and tier-2 internet service providers is often a matter of opinion.
137	INTERNET_SERVICE_PROVIDER%TIER-2_INTERNET_SERVICE_PROVIDER	INTERNET SERVICE PROVIDER	TIER-2 INTERNET SERVICE PROVIDER	181	2	Connecting to the tier-1 internet service providers are the tier-2 internet service providers that tend to be more regional in scope and less potent in their capabilities.	The distinction between the tier-1 and tier-2 internet service providers is often a matter of opinion.	Again, these networks tend to be operated by companies in the communications business.
138	INTERNET_SOFTWARE%APPLICATION_LAYER	INTERNET SOFTWARE	APPLICATION LAYER	502	4	Such is the case with software for controlling communication over the Internet, except that the internet software has four layers rather than three, each consisting of a collection of software routines rather than people and businesses.	The four layers are known as the application layer, the transport layer, the network layer, and the link layer (Figure 4.13).	A message typically originates in the application layer.
139	INTERNET_SOFTWARE%LINK_LAYER	INTERNET SOFTWARE	LINK LAYER	502	4	Such is the case with software for controlling communication over the Internet, except that the internet software has four layers rather than three, each consisting of a collection of software routines rather than people and businesses.	The four layers are known as the application layer, the transport layer, the network layer, and the link layer (Figure 4.13).	A message typically originates in the application layer.
140	INTERNET_SOFTWARE%NETWORK_LAYER	INTERNET SOFTWARE	NETWORK LAYER	502	4	Such is the case with software for controlling communication over the Internet, except that the internet software has four layers rather than three, each consisting of a collection of software routines rather than people and businesses.	The four layers are known as the application layer, the transport layer, the network layer, and the link layer (Figure 4.13).	A message typically originates in the application layer.
141	INTERNET_SOFTWARE%TRANSPORT_LAYER	INTERNET SOFTWARE	TRANSPORT LAYER	502	4	Such is the case with software for controlling communication over the Internet, except that the internet software has four layers rather than three, each consisting of a collection of software routines rather than people and businesses.	The four layers are known as the application layer, the transport layer, the network layer, and the link layer (Figure 4.13).	A message typically originates in the application layer.
142	INTERNET%4G	INTERNET	4G	323	2	Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.	However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.	Internet Multimedia Streaming
143	INTERNET%ACCESS_INTERNET_SERVICE_PROVIDER	INTERNET	ACCESS INTERNET SERVICE PROVIDER	186	3	Access to this core is usually provided by an intermediary called an access or tier-3 internet service provider.	An access internet service provider is essentially an independent internet, sometimes called an intranet, operated by a single authority that is in the business of supplying internet access to individual homes and businesses.	Examples include cable and telephone companies that charge for their service as well as organizations such as universities or corporations that take it upon themselves to provide internet access to individuals within their organizations.
144	INTERNET%ADDRESSING_SYSTEM	INTERNET	ADDRESSING SYSTEM	214	3	Internet Addressing	As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.	In the Internet these addresses are known as internet protocol addresses.
145	INTERNET%APPLICATION_LAYER	INTERNET	APPLICATION LAYER	508	1	We begin our journey with the application layer.	The application layer consists of those software units such as clients and servers that use Internet communication to carry out their tasks.	Although the names are similar, this layer is not restricted to software in the application classification presented in Section 3.2, but also includes many utility packages.
146	INTERNET%BROWSER	INTERNET	BROWSER	264	3	A newsreader application contacted servers using the Network News Transfer Protocol (NNTP), an application for listing and copying files across the network implemented the file transfer protocol (FTP), or an application for accessing another computer from a great distance used the Telnet protocol, or later the secure shell (SSH) protocol.	As webservers and browsers have become more sophisticated, more and more of these traditional network applications have come to be handled by webpages via the powerful hypertext transfer protocol (HTTP).	Nevertheless, when examining a network protocol for an Internet application for the first time, it behooves us to begin with a few simpler examples before moving on to hypertext transfer protocol in the next section.
147	INTERNET%BROWSER	INTERNET	BROWSER	268	3	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
148	INTERNET%BROWSER	INTERNET	BROWSER	355	3	Web Implementation	Software packages that allow users to access hypertext on the Internet fall into one of two categories: browsers and webservers.	A browser resides on the user's computer and is charged with the tasks of obtaining materials requested by the user and presenting these materials to the user in an organized manner.
149	INTERNET%CERTIFICATE_AUTHORITY	INTERNET	CERTIFICATE AUTHORITY	709	3	Thus, the task of associating public-keys with correct parties is significant.	One approach to resolving this problem is to establish trusted Internet sites, called certificate authorities, whose task is to maintain accurate lists of parties and their public-keys.	These authorities, acting as servers, then provide reliable public-key information to their clients in packages known as certificates.
150	INTERNET%CONTENT_DELIVERY_NETWORK	INTERNET	CONTENT DELIVERY NETWORK	344	2	In order for this type of streaming to scale to thousands or even millions of simultaneous users, each with his or her own personal stream, replication of the content to many distinct servers is essential.	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.
151	INTERNET%DOMAIN	INTERNET	DOMAIN	225	2	For this reason the Internet has an alternative addressing system in which machines are identified by mnemonic names.	This addressing system is based on the concept of a domain, which can be thought of as a " region " of the Internet operated by a single authority such as a university, club, company, or government agency.	The word region is in quotations here because, as we will soon see, such a region may not correspond to a physical area of the Internet.
152	INTERNET%EMAIL	INTERNET	EMAIL	267	4	Electronic Mail A wide variety of systems now exist for exchanging messages between end users over the network; instant messaging (IM), browser-based online chatting, Twitter-based " tweets ", and the Facebook " wall " are but a few.	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.
153	INTERNET%ENCRYPTION	INTERNET	ENCRYPTION	686	2	However, passwords can be compromised and are of little value when data are transferred over networks and internets where messages are relayed by unknown entities.	In these cases encryption can be used so that even if the data fall into unscrupulous hands, the encoded information will remain confidential.	Today, many traditional Internet applications have been altered to incorporate encryption techniques, producing what are called " secure versions " of the applications.
154	INTERNET%ENCRYPTION	INTERNET	ENCRYPTION	687	2	In these cases encryption can be used so that even if the data fall into unscrupulous hands, the encoded information will remain confidential.	Today, many traditional Internet applications have been altered to incorporate encryption techniques, producing what are called " secure versions " of the applications.	A prime example is the secure version of hypertext transfer protocol, known as HTTPS (hypertext transfer protocol over secure socket layer), which is used by most financial institutions to provide customers with secure internet access to their accounts.
155	INTERNET%END_USER	INTERNET	END USER	212	1	As alluded to in Chapter 2, several clever schemes have been developed to extend these legacy analog links to accommodate transmission of digital data.	DSL modems, cable modems, satellite uplinks, and even direct fiber-optic connections to the home are used to bring broadband internet access to end users.	Internet Addressing
156	INTERNET%GATEWAY	INTERNET	GATEWAY	109	3	For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.	The " point " at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.	Gateways can be found in a variety of forms, and thus the term is used rather loosely.
157	INTERNET%HOP_COUNT	INTERNET	HOP COUNT	584	1	Much of the internet protocol standard associated with routing deals with the protocols used for communication among neighboring network layers as they interchange routing information.	An interesting feature associated with forwarding is that each time an internet protocol network layer at a message's origin prepares a packet, it appends a value called a hop count, or time to live, to that packet.	This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.
158	INTERNET%INTERNET_INFRASTRUCTURE	INTERNET	INTERNET INFRASTRUCTURE	306	3	VoIP	As an example of a more recent Internet application, consider voice over internet protocol (VoIP) in which the internet infrastructure is used to provide voice communication similar to that of traditional telephone systems.	In its simplest form, voice over internet protocol consists of two processes on different machines transferring audio data via the peer-to-peer model-a process that in itself presents no significant problems.
159	INTERNET%INTERNET_PROTOCOL	INTERNET	INTERNET PROTOCOL	216	2	In the Internet these addresses are known as internet protocol addresses.	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.	Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).
160	INTERNET%INTERNET_PROTOCOL	INTERNET	INTERNET PROTOCOL	561	2	The transmission control protocol/internet protocol protocol suite is a collection of protocol standards used by the Internet to implement the four-level communication hierarchy.	Actually, the transmission control protocol (TCP) and the internet protocol (IP) are the names of only two of the protocols in this vast collection-so the fact that the entire collection is referred to as the transmission control protocol/internet protocol protocol suite is rather misleading.	More precisely, transmission control protocol defines a version of the transport layer.
